MAG ID	Cluster ID	Representative MAG ID	Is Representative	Gtdb Classification	Gtdb Domain	Gtdb Phylum	Gtdb Class	Gtdb Order	Gtdb Family	Gtdb Genus	Gtdb Species	Completeness	Contamination	Genome Size Bp	Contigs	N50 Contigs	Gc	Predicted Genes	Samples With Relative Abundance Gt0	Prevalence Fraction	Mean Relative Abundance Percent	Median Relative Abundance Percent	Median Nonzero Relative Abundance Percent	Max Relative Abundance Percent	Total Relative Abundance Percent Across Samples	Samples With Covered Fraction Gt0	Mean Covered Fraction
B02_bin.74	ANI95_cluster_00007	A01_bin.66	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Ventricola;s__Ventricola sp900542395	Bacteria	Bacillota	Clostridia	Christensenellales	Aristaeellaceae	Ventricola	Ventricola sp900542395	83.91	3.09	2284664	491	5745	60.545533	2343	26.0	0.4	0.01040712611	0.0	0.0129059435	0.15824258	0.6764631973	26.0	0.1208174565
B02_bin.75	ANI95_cluster_00071	B02_bin.75	True	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__Alistipes_A sp900545315	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes_A	Alistipes_A sp900545315	92.03	0.48	2098271	298	10145	49.986155	1851	1.0	0.01538461538	0.003974577538	0.0	0.25834754	0.25834754	0.25834754	1.0	0.01537249538
B02_bin.77	ANI95_cluster_00072	B02_bin.77	True	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__UBA1822;s__UBA1822 sp900545365	Bacteria	Bacillota	Negativicutes	Veillonellales	Dialisteraceae	UBA1822	UBA1822 sp900545365	97.47	3.8	1818473	24	143769	56.913355	1697	1.0	0.01538461538	0.04096243538	0.0	2.6625583	2.6625583	2.6625583	1.0	0.01528440462
B02_bin.78	ANI95_cluster_00345	G05_bin.10	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-138;g__Phil1;s__Phil1 sp001940855	Bacteria	Bacillota	Clostridia	Christensenellales	CAG-138	Phil1	Phil1 sp001940855	94.5	0.81	1938849	128	21963	53.255978	1879	14.0	0.2153846154	0.008784881592	0.0	0.0215983545	0.2620846	0.5710173035	14.0	0.07423186117
B02_bin.81	ANI95_cluster_00315	F08_bin.12	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__Alistipes_A hominis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes_A	Alistipes_A hominis	92.4	0.96	2483166	27	106214	55.451186	2032	26.0	0.4	0.01289586119	0.0	0.01772041	0.26666385	0.8382309775	26.0	0.1725372985
B02_bin.84	ANI95_cluster_00019	A04_bin.71	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__Alistipes_A ihumii	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes_A	Alistipes_A ihumii	92.55	3.94	2548040	51	79840	58.245671	2088	26.0	0.4	0.01255777096	0.0	0.0163147925	0.123357	0.8162551125	26.0	0.1592940283
B02_bin.88	ANI95_cluster_00044	A07_bin.65	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	Barnesiella intestinihominis	99.62	3.02	3278511	24	299755	43.345165	2630	43.0	0.6615384615	0.04886709894	0.04091731	0.055642553	0.45319545	3.176361431	43.0	0.2841385148
B02_bin.91	ANI95_cluster_00267	E06_bin.85	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes shahii	93.89	8.27	2668667	126	33747	60.482368	2215	46.0	0.7076923077	0.06568445163	0.038252946	0.059478741	0.53798765	4.269489356	46.0	0.4038672552
B02_bin.95	ANI95_cluster_00406	H04_bin.57	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger formicilis	92.02	4.31	2353389	282	12045	60.554630	2125	50.0	0.7692307692	0.01634406493	0.008818442	0.012632133	0.17993693	1.06236422	49.0	0.1761841777
B02_bin.96	ANI95_cluster_00134	B09_bin.93	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp000432375	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	CAG-103	CAG-103 sp000432375	92.62	0.0	1919949	46	54872	62.318895	1795	30.0	0.4615384615	0.01301409054	0.0	0.011631611	0.36394706	0.8459158852	30.0	0.1185793674
B02_bin.97	ANI95_cluster_00073	B02_bin.97	True	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UBA1820;g__Merdimorpha;s__Merdimorpha sp003150615	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	UBA1820	Merdimorpha	Merdimorpha sp003150615	84.82	0.74	1739002	327	6995	49.837896	1791	5.0	0.07692307692	0.007370949877	0.0	0.0678501	0.24498658	0.479111742	5.0	0.05215889108
B02_bin.98	ANI95_cluster_00157	C05_bin.16	False	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-533;s__CAG-533 sp000434495	Bacteria	Bacillota_I	Bacilli_A	RF39	UBA660	CAG-533	CAG-533 sp000434495	91.57	1.12	1077902	15	133338	29.601763	1087	6.0	0.09230769231	0.03859607115	0.0	0.23256135	1.197678	2.508744625	6.0	0.04858041108
B02_bin.99	ANI95_cluster_00074	B02_bin.99	True	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__CAG-272;g__CAG-841;s__CAG-841 sp000437375	Bacteria	Bacillota	Clostridia	Oscillospirales	CAG-272	CAG-841	CAG-841 sp000437375	90.83	0.67	1632116	15	146258	45.390034	1489	1.0	0.01538461538	0.01394034	0.0	0.9061221	0.9061221	0.9061221	1.0	0.01538452092
B03_bin.10	ANI95_cluster_00364	G08_bin.17	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__Hominicoprocola sp900317525	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Hominicoprocola	Hominicoprocola sp900317525	92.62	0.0	1663761	23	138967	61.550788	1622	44.0	0.6769230769	0.04155603449	0.01865235	0.028614383	0.50318193	2.701142242	44.0	0.2619315825
B03_bin.11	ANI95_cluster_00204	D05_bin.15	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Coprobacteraceae;g__Coprobacter;s__Coprobacter fastidiosus	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Coprobacteraceae	Coprobacter	Coprobacter fastidiosus	90.75	3.02	3297732	146	34861	38.600256	2657	20.0	0.3076923077	0.008238169815	0.0	0.01903636	0.1678655	0.535481038	20.0	0.1084320235
B03_bin.12	ANI95_cluster_00075	B03_bin.12	True	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella_B;s__Barnesiella_B propionica	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella_B	Barnesiella_B propionica	98.87	0.0	3052110	16	405433	39.966843	2550	1.0	0.01538461538	0.03074981077	0.0	1.9987377	1.9987377	1.9987377	1.0	0.01538461538
B03_bin.13	ANI95_cluster_00337	G03_bin.37	False	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio fairfieldensis	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio fairfieldensis	95.64	3.25	3098904	502	7366	62.106474	2891	5.0	0.07692307692	0.004589993215	0.0	0.024021707	0.22695945	0.298349559	5.0	0.03279562415
B03_bin.16	ANI95_cluster_00350	G05_bin.67	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas;s__Butyricimonas paravirosa	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas	Butyricimonas paravirosa	84.49	0.72	4014579	873	5557	43.546584	3786	17.0	0.2615384615	0.007565087708	0.0	0.016652504	0.07338121	0.491730701	17.0	0.1157375195
B03_bin.17	ANI95_cluster_00263	E06_bin.63	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp003491505	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_F	Eubacterium_F sp003491505	82.47	3.38	1965748	424	5557	41.754080	2109	40.0	0.6153846154	0.01557931602	0.0084673	0.019221108	0.08348154	1.012655542	40.0	0.1878214672
B03_bin.22	ANI95_cluster_00155	C05_bin.117	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Gallintestinimicrobium;s__Gallintestinimicrobium propionicum	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Gallintestinimicrobium	Gallintestinimicrobium propionicum	94.06	0.19	2688025	82	55925	48.765469	2408	41.0	0.6307692308	0.01670045084	0.00673792	0.012995126	0.15732427	1.085529304	41.0	0.1848303318
B03_bin.24	ANI95_cluster_00332	G02_bin.41	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__Alistipes_A indistinctus	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes_A	Alistipes_A indistinctus	91.68	3.12	2490810	409	7580	55.644710	2286	37.0	0.5692307692	0.01038047029	0.004376592	0.009084553	0.0823896	0.6747305689	37.0	0.178476963
B03_bin.27	ANI95_cluster_00215	D06_bin.80	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-138;g__SFEL01;s__SFEL01 sp004557245	Bacteria	Bacillota	Clostridia	Christensenellales	CAG-138	SFEL01	SFEL01 sp004557245	99.19	1.08	1845107	88	31928	53.509038	1818	21.0	0.3230769231	0.009327113409	0.0	0.014345875	0.23063496	0.6062623716	21.0	0.1103790069
B03_bin.29	ANI95_cluster_00126	B08_bin.39	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sanitatis	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Vescimonas	Vescimonas sanitatis	85.23	1.38	1889692	49	62993	60.210394	1793	27.0	0.4153846154	0.04784176379	0.0	0.04703269	0.8776419	3.109714646	27.0	0.1704352223
B03_bin.30	ANI95_cluster_00023	A05_bin.109	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp900755095	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp900755095	83.05	6.51	5840644	332	37896	41.672922	4962	62.0	0.9538461538	0.1678320483	0.079636246	0.0841423795	0.9880458	10.90908314	62.0	0.4601825623
B03_bin.34	ANI95_cluster_00063	B02_bin.24	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__SFMI01;s__SFMI01 sp004556155	Bacteria	Bacillota	Clostridia	Christensenellales	Aristaeellaceae	SFMI01	SFMI01 sp004556155	91.53	2.28	2569974	40	131534	58.165258	2354	10.0	0.1538461538	0.02675821391	0.0	0.021767307	1.4777644	1.739283904	10.0	0.06490300862
B03_bin.36	ANI95_cluster_00076	B03_bin.36	True	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcoides;s__Ruminococcoides bromii	Bacteria	Bacillota	Clostridia	Oscillospirales	Acutalibacteraceae	Ruminococcoides	Ruminococcoides bromii	98.29	2.01	1812433	193	13952	41.588737	1773	30.0	0.4615384615	0.01799630258	0.0	0.028701916	0.21722265	1.169759668	30.0	0.09645417066
B03_bin.37	ANI95_cluster_00315	F08_bin.12	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__Alistipes_A hominis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes_A	Alistipes_A hominis	97.12	0.0	2808456	15	276635	54.664770	2334	27.0	0.4153846154	0.01560353825	0.0	0.011572994	0.42255473	1.014229987	27.0	0.1470046109
B03_bin.39	ANI95_cluster_00118	B06_bin.86	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Huintestinicola;s__Huintestinicola butyrica	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Huintestinicola	Huintestinicola butyrica	95.99	0.0	2532315	161	28174	47.412743	2428	9.0	0.1384615385	0.0370426368	0.0	0.08999873	1.3857831	2.407771392	9.0	0.08982800908
B03_bin.4	ANI95_cluster_00267	E06_bin.85	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes shahii	82.76	4.31	2552868	35	149668	59.342943	2106	45.0	0.6923076923	0.09016263182	0.048071876	0.08245767	1.060397	5.860571068	45.0	0.4439808097
B03_bin.40	ANI95_cluster_00034	A06_bin.107	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter splanchnicus	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	Odoribacter splanchnicus	92.11	0.0	3887434	127	48808	43.674799	3185	50.0	0.7692307692	0.01037135389	0.006729532	0.00998977725	0.069940716	0.6741380026	50.0	0.2189905204
B03_bin.44	ANI95_cluster_00413	H05_bin.38	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides distasonis	96.86	0.38	4756295	53	139981	45.064341	3994	49.0	0.7538461538	0.02466927058	0.015624232	0.021204842	0.3223157	1.603502588	49.0	0.2127529504
B03_bin.45	ANI95_cluster_00128	B08_bin.66	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes communis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes communis	94.23	0.48	2592497	38	111373	59.627610	2133	41.0	0.6307692308	0.04295587506	0.017930029	0.02972151	0.48841417	2.792131879	41.0	0.2812434782
B03_bin.46	ANI95_cluster_00021	A04_bin.93	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger qucibialis	99.32	0.68	2458594	226	14789	56.469023	2108	51.0	0.7846153846	0.02321754104	0.010034461	0.013775425	0.31346476	1.509140168	51.0	0.2369013288
B03_bin.47	ANI95_cluster_00412	H05_bin.34	False	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	96.61	1.9	4612219	445	16484	50.753639	4676	22.0	0.3384615385	0.01930161952	0.0	0.010609837	0.30638504	1.254605269	22.0	0.1108410385
B03_bin.49	ANI95_cluster_00077	B03_bin.49	True	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp000433975	Bacteria	Bacillota	Clostridia	Oscillospirales	Acutalibacteraceae	Eubacterium_R	Eubacterium_R sp000433975	83.22	1.34	1671653	19	125847	43.806819	1537	7.0	0.1076923077	0.1083760049	0.0	0.09021054	3.6459172	7.044440317	7.0	0.08059236031
B03_bin.54	ANI95_cluster_00078	B03_bin.54	True	d__Bacteria;p__Bacillota;c__Clostridia;o__UBA1212;f__UBA1255;g__Egerieisoma;s__Egerieisoma sp900552695	Bacteria	Bacillota	Clostridia	UBA1212	UBA1255	Egerieisoma	Egerieisoma sp900552695	91.67	2.27	2376719	387	8733	43.467949	2450	4.0	0.06153846154	0.004813473077	0.0	0.081989168	0.14062378	0.31287575	4.0	0.042277022
B03_bin.55	ANI95_cluster_00430	H07_bin.63	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides thetaiotaomicron	85.52	2.59	6186777	79	135436	42.769733	4926	57.0	0.8769230769	0.1173846823	0.05410278	0.06890343	1.3529582	7.630004349	57.0	0.4576123182
B03_bin.58	ANI95_cluster_00329	G01_bin.80	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Suilimivivens;s__Suilimivivens sp000438155	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Suilimivivens	Suilimivivens sp000438155	93.24	2.03	3029140	67	72947	44.094495	2671	19.0	0.2923076923	0.01486454754	0.0	0.033179123	0.20359114	0.96619559	19.0	0.1359032402
B03_bin.63	ANI95_cluster_00079	B03_bin.63	True	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas;s__Intestinimonas massiliensis	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Intestinimonas	Intestinimonas massiliensis	97.36	6.85	2844493	197	23713	61.889096	2815	30.0	0.4615384615	0.0206732519	0.0	0.01497897975	0.33141837	1.343761374	30.0	0.1730861235
B03_bin.66	ANI95_cluster_00361	G07_bin.85	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA11524;s__UBA11524 sp000437595	Bacteria	Bacillota	Clostridia	Christensenellales	Aristaeellaceae	UBA11524	UBA11524 sp000437595	99.3	2.56	3155707	93	51666	58.163385	2697	31.0	0.4769230769	0.02622948251	0.0	0.025998821	0.7642808	1.704916363	31.0	0.124840117
B03_bin.70	ANI95_cluster_00018	A03_bin.68	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia hominis	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia hominis	99.4	0.48	2972930	94	44936	49.698883	2687	36.0	0.5538461538	0.01951388545	0.0049049724	0.0108179635	0.19389811	1.268402554	36.0	0.1810578426
B03_bin.74	ANI95_cluster_00176	C07_bin.75	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-314;g__CAG-314;s__CAG-314 sp000437915	Bacteria	Bacillota	Clostridia	Christensenellales	CAG-314	CAG-314	CAG-314 sp000437915	85.48	0.81	1388528	15	225512	48.887023	1214	13.0	0.2	0.01817305192	0.0	0.042613316	0.31951118	1.181248375	13.0	0.09189449154
B03_bin.75	ANI95_cluster_00290	F03_bin.40	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A wexlerae	97.15	1.9	3443570	139	46794	41.689613	3021	63.0	0.9692307692	0.04922342733	0.027315166	0.030896628	0.26202172	3.199522777	63.0	0.4131713159
B03_bin.76	ANI95_cluster_00283	F02_bin.66	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Tidjanibacter;s__Tidjanibacter inops	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Tidjanibacter	Tidjanibacter inops	81.73	0.16	1769872	31	105671	57.478337	1483	31.0	0.4769230769	0.02435906185	0.0	0.03325807	0.19528964	1.583339021	31.0	0.2607568226
B03_bin.77	ANI95_cluster_00080	B03_bin.77	True	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium duncaniae	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium duncaniae	90.41	1.53	2062905	187	15902	59.069177	1962	58.0	0.8923076923	0.140865429	0.052182823	0.071038468	1.3206233	9.156252885	58.0	0.4882521494
B03_bin.9	ANI95_cluster_00081	B03_bin.9	True	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia biwaensis	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia biwaensis	96.6	1.04	2994017	34	115557	56.936985	2467	5.0	0.07692307692	0.0256927422	0.0	0.054006834	1.4778467	1.670028243	5.0	0.05365656929
B04_bin.11	ANI95_cluster_00406	H04_bin.57	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger formicilis	95.92	4.08	2591708	78	54320	59.722739	2294	52.0	0.8	0.02464876792	0.011334048	0.013791137	0.5800951	1.602169915	52.0	0.1912141231
B04_bin.13	ANI95_cluster_00082	B04_bin.13	True	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp900548505	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	Oscillibacter sp900548505	93.31	4.65	2132011	132	21676	61.208408	2120	5.0	0.07692307692	0.006026380108	0.0	0.012058343	0.3476342	0.391714707	5.0	0.02667741354
B04_bin.15	ANI95_cluster_00180	C08_bin.28	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium butyricigenerans	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium butyricigenerans	88.84	5.06	1777601	136	20637	61.369509	1664	43.0	0.6615384615	0.03706841246	0.0076063033	0.018415168	0.46415174	2.40944681	43.0	0.246695343
B04_bin.17	ANI95_cluster_00193	D01_bin.64	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis	95.17	1.57	4368180	42	163180	46.616577	3580	63.0	0.9692307692	0.1733855323	0.095330745	0.105875544	1.826843	11.2700596	63.0	0.5784022703
B04_bin.18	ANI95_cluster_00083	B04_bin.18	True	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes onderdonkii	99.28	0.48	3395547	18	267185	58.251940	2806	57.0	0.8769230769	0.1538406096	0.05472921	0.065481074	1.8981957	9.999639623	57.0	0.4042946846
B04_bin.29	ANI95_cluster_00405	H04_bin.47	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum lactatifermentans	Bacteria	Bacillota	Clostridia	Lachnospirales	Anaerotignaceae	Anaerotignum	Anaerotignum lactatifermentans	91.95	1.23	2233954	139	25049	45.795348	2198	3.0	0.04615384615	0.007342239615	0.0	0.1243022	0.31321004	0.477245575	3.0	0.03140401385
B04_bin.3	ANI95_cluster_00015	A03_bin.21	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hominisplanchenecus;s__Hominisplanchenecus faecis	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Hominisplanchenecus	Hominisplanchenecus faecis	94.94	3.16	2504046	76	50200	44.760639	2085	42.0	0.6461538462	0.03413881803	0.006954803	0.0193072385	0.8945909	2.219023172	42.0	0.2277988795
B04_bin.30	ANI95_cluster_00084	B04_bin.30	True	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__Negativibacillus massiliensis	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Negativibacillus	Negativibacillus massiliensis	95.97	3.91	2739099	200	23984	45.433407	2805	13.0	0.2	0.009495612749	0.0	0.014949522	0.31867424	0.6172148287	13.0	0.06536937954
B04_bin.32	ANI95_cluster_00021	A04_bin.93	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger qucibialis	91.88	0.68	2413772	214	15673	56.443732	2046	49.0	0.7538461538	0.01704335679	0.011599663	0.016068572	0.17234528	1.107818192	49.0	0.221766283
B04_bin.33	ANI95_cluster_00085	B04_bin.33	True	d__Bacteria;p__Bacillota;c__Clostridia;o__UBA1381;f__UBA1381;g__Hominilimicola;s__Hominilimicola fabiformis	Bacteria	Bacillota	Clostridia	UBA1381	UBA1381	Hominilimicola	Hominilimicola fabiformis	96.64	0.67	2621762	58	64284	38.335249	2319	47.0	0.7230769231	0.01809246898	0.009569966	0.017826868	0.27513653	1.176010484	47.0	0.2295484137
B04_bin.34	ANI95_cluster_00310	F07_bin.6	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-217;s__CAG-217 sp000436335	Bacteria	Bacillota	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-217	CAG-217 sp000436335	88.59	0.0	1584629	9	263008	53.860052	1431	16.0	0.2461538462	0.02260235257	0.0	0.02136258	0.42126784	1.469152917	16.0	0.1040752129
B04_bin.43	ANI95_cluster_00288	F03_bin.29	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides cellulosilyticus	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides cellulosilyticus	96.65	2.06	6436269	67	174276	42.804115	4826	36.0	0.5538461538	0.09409509801	0.013804321	0.06541143	1.7067935	6.116181371	36.0	0.2901420295
